timestamp,symbol,side,qty,price,commission,slippage,total_cost,net_proceeds,pnl,pnl_pct
2023-03-15 04:00:00+00:00,AAPL,buy,132,151.47,0.0,0.0,19994.04,,,
2023-03-17 04:00:00+00:00,MSFT,buy,58,275.08,0.0,0.0,15954.64,,,
2023-03-20 04:00:00+00:00,GOOGL,buy,127,100.73,0.0,0.0,12792.710000000001,,,
2023-03-22 04:00:00+00:00,AMZN,buy,103,98.7,0.0,0.0,10166.1,,,
2023-06-27 04:00:00+00:00,GOOGL,sell,127,117.76,0.0,0.0,,14955.52,2162.8099999999995,16.9065819517522
2023-07-24 04:00:00+00:00,GOOGL,buy,92,120.94,0.0,0.0,11126.48,,,
2023-08-02 04:00:00+00:00,MSFT,sell,58,323.1,0.0,0.0,,18739.800000000003,2785.1600000000035,17.45673985749602
2023-08-02 04:00:00+00:00,AMZN,sell,103,128.21,0.0,0.0,,13205.630000000001,3039.5300000000007,29.898682877406284
2023-08-04 04:00:00+00:00,AMZN,buy,110,139.57,0.0,0.0,15352.699999999999,,,
2023-08-08 04:00:00+00:00,AAPL,sell,132,178.26,0.0,0.0,,23530.32,3536.279999999999,17.686670627847093
2023-09-06 04:00:00+00:00,AAPL,buy,93,181.59,0.0,0.0,16887.87,,,
2023-09-06 04:00:00+00:00,MSFT,buy,41,329.1,0.0,0.0,13493.1,,,
2023-09-13 04:00:00+00:00,META,buy,36,303.64,0.0,0.0,10931.039999999999,,,
2023-09-18 04:00:00+00:00,AAPL,sell,93,176.68,0.0,0.0,,16431.24,-456.6299999999974,-2.703893386199665
2023-09-26 04:00:00+00:00,MSFT,sell,41,308.6,0.0,0.0,,12652.6,-840.5,-6.229109693102401
2023-09-26 04:00:00+00:00,AMZN,sell,110,125.98,0.0,0.0,,13857.800000000001,-1494.8999999999978,-9.737049509206836
2023-09-28 04:00:00+00:00,GOOGL,sell,92,131.67,0.0,0.0,,12113.64,987.1599999999999,8.87216801719861
2023-10-11 04:00:00+00:00,GOOGL,buy,141,139.87,0.0,0.0,19721.670000000002,,,
2023-10-16 04:00:00+00:00,AAPL,buy,89,177.43,0.0,0.0,15791.27,,,
2023-10-16 04:00:00+00:00,MSFT,buy,38,328.87,0.0,0.0,12497.06,,,
2023-10-26 04:00:00+00:00,AAPL,sell,89,165.68,0.0,0.0,,14745.52,-1045.75,-6.622329932931296
2023-10-27 04:00:00+00:00,GOOGL,sell,141,121.58,0.0,0.0,,17142.78,-2578.890000000003,-13.076428111818132
2023-10-30 04:00:00+00:00,META,sell,36,301.25,0.0,0.0,,10845.0,-86.03999999999905,-0.7871163219602075
2023-11-02 04:00:00+00:00,AMZN,buy,135,138.07,0.0,0.0,18639.45,,,
2023-11-09 05:00:00+00:00,AAPL,buy,82,181.09,0.0,0.0,14849.380000000001,,,
2023-11-10 05:00:00+00:00,META,buy,36,327.24,0.0,0.0,11780.64,,,
2023-11-20 05:00:00+00:00,GOOGL,buy,71,135.59,0.0,0.0,9626.89,,,
2023-12-12 05:00:00+00:00,GOOGL,sell,71,131.88,0.0,0.0,,9363.48,-263.40999999999985,-2.736189984512131
2023-12-12 05:00:00+00:00,META,sell,36,332.67,0.0,0.0,,11976.12,195.48000000000138,1.659332599926671
2023-12-19 05:00:00+00:00,MSFT,sell,38,369.77,0.0,0.0,,14051.259999999998,1554.199999999999,12.43652507069662
2023-12-19 05:00:00+00:00,META,buy,42,348.73,0.0,0.0,14646.66,,,
2023-12-20 05:00:00+00:00,GOOGL,buy,86,137.67,0.0,0.0,11839.619999999999,,,
2024-01-03 05:00:00+00:00,AAPL,sell,82,183.15,0.0,0.0,,15018.300000000001,168.92000000000007,1.1375559114252585
2024-01-10 05:00:00+00:00,MSFT,buy,32,379.2,0.0,0.0,12134.4,,,
2024-01-29 05:00:00+00:00,AAPL,buy,52,190.59,0.0,0.0,9910.68,,,
2024-02-09 05:00:00+00:00,AAPL,sell,52,187.96,0.0,0.0,,9773.92,-136.76000000000022,-1.3799254945170283
2024-02-20 05:00:00+00:00,GOOGL,sell,86,140.44,0.0,0.0,,12077.84,238.22000000000116,2.0120578194232683
2024-03-20 04:00:00+00:00,GOOGL,buy,84,148.02,0.0,0.0,12433.68,,,
